                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9125,                 4.4245,                 3.9343,                0.00025,                0.02654,                0.00025,                0.00011,                 4.3462,                 4.9832,                 4.2645,              0.0033048,              0.0033048,              0.0033048
                      2,                 2.6436,                 2.5249,                 2.3996,                0.44864,                0.09326,                0.09426,                0.03894,                 2.2134,                  2.316,                 2.0769,              0.0065944,              0.0065944,              0.0065944
                      3,                 2.0465,                 1.8783,                 1.7802,                0.68821,                0.11738,                 0.1291,                0.06145,                 2.0095,                 2.4061,                 1.8516,              0.0098399,              0.0098399,              0.0098399
                      4,                 1.7329,                 1.4718,                 1.5389,                0.51685,                 0.2795,                0.26493,                0.14154,                 1.5718,                 1.3321,                 1.4776,               0.009802,               0.009802,               0.009802
                      5,                 1.5332,                 1.2219,                 1.3964,                0.58435,                0.36427,                 0.3834,                0.20453,                 1.4265,                 1.1282,                 1.3975,               0.009802,               0.009802,               0.009802
                      6,                 1.4021,                 1.0741,                 1.3114,                0.51202,                0.37952,                0.42984,                0.24761,                 1.2958,                 1.0057,                 1.2894,               0.009736,               0.009736,               0.009736
                      7,                 1.3224,                0.98857,                 1.2649,                0.67448,                 0.4768,                0.51272,                0.29334,                 1.2078,                0.89112,                 1.2467,                0.00967,                0.00967,                0.00967
                      8,                 1.2682,                0.92395,                 1.2293,                0.63091,                0.50664,                0.55212,                0.32723,                 1.1606,                0.83625,                  1.206,               0.009604,               0.009604,               0.009604
                      9,                 1.2181,                0.87051,                 1.2001,                 0.6307,                0.52829,                0.58654,                0.34951,                 1.1346,                0.78173,                 1.1849,               0.009538,               0.009538,               0.009538
                     10,                 1.1859,                0.83761,                 1.1821,                0.70097,                0.56773,                0.63564,                0.39155,                 1.0816,                0.73766,                 1.1508,               0.009472,               0.009472,               0.009472
                     11,                 1.1539,                0.80268,                 1.1627,                0.66343,                0.60683,                0.65915,                0.40466,                 1.0548,                0.71357,                 1.1438,               0.009406,               0.009406,               0.009406
                     12,                 1.1275,                0.77254,                 1.1483,                0.70644,                0.61357,                0.67467,                 0.4196,                 1.0308,                0.69798,                 1.1289,                0.00934,                0.00934,                0.00934
                     13,                 1.1061,                0.75487,                 1.1366,                0.74498,                 0.6272,                0.69997,                0.44314,                 1.0201,                0.68015,                 1.1191,               0.009274,               0.009274,               0.009274
                     14,                 1.0868,                0.73492,                 1.1244,                0.73821,                0.64067,                0.71137,                0.45216,                0.99644,                0.67364,                 1.1099,               0.009208,               0.009208,               0.009208
                     15,                 1.0692,                0.71691,                  1.115,                 0.7335,                0.62663,                0.70632,                0.45107,                0.98127,                0.65319,                 1.1011,               0.009142,               0.009142,               0.009142
                     16,                 1.0524,                0.70023,                 1.1059,                0.75938,                0.63498,                 0.7236,                0.46745,                 0.9613,                0.63556,                 1.0902,               0.009076,               0.009076,               0.009076
                     17,                   1.04,                 0.6925,                 1.1026,                0.77714,                 0.6694,                0.73639,                0.48349,                0.94675,                0.61573,                 1.0776,                0.00901,                0.00901,                0.00901
                     18,                 1.0252,                0.67794,                 1.0961,                0.76746,                0.69389,                0.76653,                0.50304,                0.93699,                0.59142,                 1.0727,               0.008944,               0.008944,               0.008944
                     19,                 1.0158,                0.66805,                 1.0908,                 0.8121,                0.69953,                0.77786,                0.51812,                0.91582,                 0.5846,                 1.0621,               0.008878,               0.008878,               0.008878
                     20,                 1.0036,                0.65088,                 1.0816,                0.78735,                0.71005,                0.78543,                0.52775,                0.89653,                0.57412,                  1.052,               0.008812,               0.008812,               0.008812
                     21,                0.99388,                0.65022,                 1.0768,                0.79058,                 0.7275,                0.79687,                0.53678,                0.89028,                0.56572,                 1.0494,               0.008746,               0.008746,               0.008746
                     22,                0.98256,                0.63589,                 1.0713,                0.81059,                0.73018,                0.80104,                0.54359,                0.87587,                0.55206,                 1.0435,                0.00868,                0.00868,                0.00868
                     23,                0.96857,                0.62276,                 1.0627,                0.82393,                0.73581,                0.81889,                 0.5535,                 0.8735,                0.54591,                 1.0434,               0.008614,               0.008614,               0.008614
                     24,                0.96625,                0.62191,                 1.0634,                0.81519,                0.74854,                0.81886,                0.56097,                 0.8665,                0.53997,                 1.0348,               0.008548,               0.008548,               0.008548
                     25,                0.95456,                0.61313,                 1.0592,                0.85765,                0.74018,                 0.8303,                0.56825,                0.84921,                0.52869,                 1.0285,               0.008482,               0.008482,               0.008482
                     26,                0.94463,                0.60135,                 1.0512,                0.83553,                0.72765,                 0.8183,                0.55872,                 0.8534,                0.52333,                 1.0277,               0.008416,               0.008416,               0.008416
                     27,                0.94121,                 0.5961,                 1.0478,                 0.8662,                0.76367,                0.84674,                0.58806,                0.82768,                0.50903,                 1.0169,                0.00835,                0.00835,                0.00835
                     28,                0.92733,                0.58808,                 1.0438,                0.83122,                0.76439,                0.84063,                0.58657,                0.82561,                0.50825,                 1.0145,               0.008284,               0.008284,               0.008284
                     29,                0.91797,                0.57934,                 1.0397,                0.85343,                 0.7705,                0.84758,                0.59149,                0.82158,                0.50497,                 1.0138,               0.008218,               0.008218,               0.008218
                     30,                0.91368,                0.57381,                 1.0357,                0.82992,                0.77692,                0.84533,                 0.5944,                0.80821,                0.49522,                 1.0074,               0.008152,               0.008152,               0.008152
                     31,                0.90968,                0.57329,                 1.0333,                 0.8683,                0.78678,                0.85674,                0.60019,                0.80838,                 0.4897,                 1.0044,               0.008086,               0.008086,               0.008086
                     32,                0.90255,                0.56729,                 1.0299,                0.85858,                 0.7859,                0.85731,                0.60801,                0.79831,                0.48636,                0.99985,                0.00802,                0.00802,                0.00802
                     33,                 0.8973,                 0.5599,                 1.0279,                0.84766,                0.80101,                0.86476,                0.61738,                0.78504,                0.47343,                0.99439,               0.007954,               0.007954,               0.007954
                     34,                0.88735,                0.55328,                 1.0209,                0.86518,                0.79598,                0.86599,                0.61601,                0.77935,                0.47543,                0.99233,               0.007888,               0.007888,               0.007888
                     35,                0.88657,                0.55187,                   1.02,                0.87737,                0.79622,                0.87063,                0.61964,                0.77417,                0.46837,                0.98762,               0.007822,               0.007822,               0.007822
                     36,                0.87475,                0.54753,                 1.0167,                0.87454,                0.80656,                0.87704,                0.63087,                0.76749,                0.46393,                0.98587,               0.007756,               0.007756,               0.007756
                     37,                0.87517,                0.54453,                 1.0161,                0.88798,                 0.8045,                0.88063,                0.63561,                0.76052,                0.45651,                0.98327,                0.00769,                0.00769,                0.00769
                     38,                0.86557,                0.53907,                 1.0148,                0.89155,                0.80652,                0.88168,                0.64185,                0.75551,                0.45321,                0.98047,               0.007624,               0.007624,               0.007624
                     39,                0.86003,                 0.5354,                 1.0079,                0.87648,                0.80028,                0.87972,                0.64434,                0.74586,                0.44865,                0.97353,               0.007558,               0.007558,               0.007558
                     40,                0.85448,                0.52791,                 1.0057,                0.88779,                 0.8114,                0.88302,                0.64189,                0.74402,                0.44569,                0.97455,               0.007492,               0.007492,               0.007492
                     41,                0.85372,                0.52569,                 1.0038,                0.88011,                0.81402,                0.88384,                0.65311,                0.73456,                0.44306,                0.97076,               0.007426,               0.007426,               0.007426
                     42,                0.84618,                0.52311,                 1.0007,                0.89611,                0.81972,                0.88977,                0.65424,                0.73297,                0.43766,                0.96903,                0.00736,                0.00736,                0.00736
                     43,                0.84039,                0.51775,                 0.9972,                0.89662,                0.82512,                0.89346,                0.66249,                0.72858,                0.43981,                0.96478,               0.007294,               0.007294,               0.007294
