                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9923,                 4.3874,                 3.9513,                0.00025,                0.02698,                0.00023,                  8e-05,                 4.4971,                 5.0359,                 4.2912,              0.0033048,              0.0033048,              0.0033048
                      2,                 2.6834,                 2.5076,                 2.4077,                 0.4095,                 0.1129,                0.09039,                0.03944,                 2.2092,                 1.8784,                 2.0616,              0.0065944,              0.0065944,              0.0065944
                      3,                 2.0739,                  1.852,                 1.7949,                 0.5896,                0.17588,                0.17509,                0.07936,                 1.9138,                 1.6346,                 1.7369,              0.0098399,              0.0098399,              0.0098399
                      4,                 1.7494,                 1.4385,                 1.5496,                0.40324,                0.29473,                0.24579,                 0.1225,                 1.5827,                 1.3408,                 1.4962,               0.009802,               0.009802,               0.009802
                      5,                 1.5415,                 1.1784,                 1.4037,                0.58538,                0.38514,                0.41392,                0.22474,                 1.3809,                 1.0027,                 1.3571,               0.009802,               0.009802,               0.009802
                      6,                 1.4123,                 1.0354,                 1.3235,                0.47478,                0.33619,                0.39023,                0.22125,                 1.3268,                0.98567,                 1.3169,               0.009736,               0.009736,               0.009736
                      7,                 1.3315,                0.94911,                 1.2749,                0.67932,                0.47438,                0.52067,                0.29327,                 1.2158,                0.84225,                 1.2427,                0.00967,                0.00967,                0.00967
                      8,                 1.2731,                  0.881,                  1.237,                0.58742,                0.52779,                0.55472,                0.32295,                 1.1763,                0.78073,                 1.2223,               0.009604,               0.009604,               0.009604
                      9,                 1.2235,                0.82821,                 1.2097,                0.75504,                0.51233,                0.61079,                0.36848,                 1.1211,                0.71946,                 1.1944,               0.009538,               0.009538,               0.009538
                     10,                 1.1927,                0.79316,                 1.1889,                0.73511,                0.55247,                0.63422,                0.37953,                 1.1001,                0.69856,                 1.1743,               0.009472,               0.009472,               0.009472
                     11,                   1.16,                0.75502,                 1.1709,                0.68976,                0.60078,                0.66535,                0.41112,                 1.0418,                0.65854,                 1.1415,               0.009406,               0.009406,               0.009406
                     12,                 1.1326,                0.72642,                 1.1557,                0.73152,                0.58727,                0.67156,                0.40927,                 1.0396,                0.66156,                 1.1465,                0.00934,                0.00934,                0.00934
                     13,                 1.1146,                0.71126,                 1.1454,                0.73812,                0.61123,                0.69308,                0.42715,                 1.0138,                0.63273,                 1.1267,               0.009274,               0.009274,               0.009274
