                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                0.86735,                0.53899,                 1.0109,                0.88428,                0.80005,                0.88031,                0.64443,                0.74882,                0.44729,                0.97663,               0.007558,               0.007558,               0.007558
                     40,                 0.8614,                0.53217,                 1.0085,                0.87511,                0.79781,                0.87247,                0.63494,                0.74146,                0.45176,                0.97218,               0.007492,               0.007492,               0.007492
                     41,                0.85827,                0.53059,                 1.0052,                0.88055,                0.81035,                0.88152,                0.64368,                0.74501,                0.44826,                0.97574,               0.007426,               0.007426,               0.007426
                     42,                0.85047,                0.52458,                 1.0031,                 0.8876,                 0.8149,                0.88346,                0.64577,                0.73869,                0.44248,                0.97208,                0.00736,                0.00736,                0.00736
                     43,                0.84515,                0.52216,                0.99932,                0.88241,                0.82257,                0.89014,                0.65826,                0.72659,                0.43551,                0.96641,               0.007294,               0.007294,               0.007294
                     44,                0.84037,                0.51672,                 1.0021,                0.89535,                0.81556,                0.88829,                0.65699,                0.72559,                0.43328,                0.96619,               0.007228,               0.007228,               0.007228
                     45,                 0.8417,                0.51591,                0.99998,                0.90179,                0.82165,                0.89285,                 0.6637,                0.71422,                0.42785,                0.96088,               0.007162,               0.007162,               0.007162
                     46,                0.83059,                0.51058,                0.99476,                0.90516,                0.81674,                0.89194,                0.66539,                0.70901,                0.42316,                0.95976,               0.007096,               0.007096,               0.007096
                     47,                0.82553,                0.50886,                 0.9941,                0.91038,                0.82355,                0.90107,                0.67239,                0.70659,                0.42089,                0.95814,                0.00703,                0.00703,                0.00703
                     48,                0.82959,                0.50746,                0.99436,                 0.9096,                0.82999,                0.90087,                0.67484,                 0.6996,                0.41701,                0.95358,               0.006964,               0.006964,               0.006964
                     49,                0.82093,                0.50339,                0.98944,                0.90729,                0.83561,                0.90381,                0.67835,                0.69668,                0.41227,                0.95291,               0.006898,               0.006898,               0.006898
                     50,                0.81704,                0.49717,                0.98729,                0.89426,                0.84418,                  0.904,                0.67801,                0.69247,                0.41345,                0.95124,               0.006832,               0.006832,               0.006832
                     51,                0.81443,                0.49728,                0.98781,                 0.9049,                0.84071,                0.90785,                0.68579,                0.68805,                0.40787,                0.94801,               0.006766,               0.006766,               0.006766
                     52,                0.81047,                0.49359,                0.98605,                0.91955,                0.83724,                0.91014,                  0.689,                0.67954,                0.40162,                0.94552,                 0.0067,                 0.0067,                 0.0067
